Category,1 Star Reviews,2 Star Reviews,3 Star Reviews,4 Star Reviews,5 Star Reviews,Positive Reviews,Negative Reviews,All Reviews Count,Average Rating
Food Trucks,1047,1035,1489,3770,9127,12897,2082,16468,4.147376730629099
Knitting Supplies,200,156,231,382,409,791,356,1378,3.467343976777939
Fabric Stores,332,175,223,439,779,1218,507,1948,3.5944558521560577
Pool Halls,602,433,720,1272,1271,2543,1035,4298,3.506514657980456
Tanning,1530,571,406,1095,8695,9790,2101,12297,4.207936895177686
Vitamins & Supplements,261,118,158,340,1588,1928,379,2465,4.166734279918864
Health Markets,1312,1072,1645,3951,6420,10371,2384,14400,3.909375
Community Centers,21,15,26,87,111,198,36,260,3.9692307692307693
Gastropubs,4618,5744,8798,17833,22305,40138,10362,59298,3.800414853789335
Shoe Shine,23,5,3,16,132,148,28,179,4.279329608938547
Tattoo Removal,267,59,33,93,1857,1950,326,2309,4.391944564746644
Serbo Croatian,3,3,6,33,27,60,6,72,4.083333333333333
International,191,161,297,528,718,1246,352,1895,3.749868073878628
Spray Tanning,418,159,105,336,4988,5324,577,6006,4.551282051282051
Home Automation,341,31,21,37,993,1030,372,1423,3.9205903021784962
Heating & Air Conditioning/HVAC,3973,484,281,638,12460,13098,4457,17836,3.9603050011213274
Podiatrists,281,48,28,73,831,904,329,1261,3.8921490880253766
Steakhouses,15945,16066,21805,42691,65562,108253,32011,162069,3.7765766432815653
Fish & Chips,1059,1008,1597,3394,4922,8316,2067,11980,3.8440734557595992
Outlet Stores,693,484,1034,1915,1868,3783,1177,5994,3.6307974641307976
